,subject,epoch,score,rho,axlambda,dx,dy,drot,final
0,12-005,0,999999,130,500,0,0,0,False
1,12-005,0,20.688412307355556,160.0,530.0,-50.0,50.0,-0.25,False
2,12-005,1,20.688412307355556,160.0,530.0,-50.0,50.0,-0.25,True
3,51-009,0,999999,29,750,0,0,0,False
4,51-009,0,15.690964406774853,58.723878853808436,743.7129188335085,15,-15,-2,False
5,51-009,1,14.357032310438658,88.72387885380843,771.4292738453473,30,-30,-4,False
6,51-009,2,14.357032310438658,88.72387885380843,771.4292738453473,30,-30,-4,True
7,52-001,0,999999,200,1500,0,0,0,False
8,52-001,0,9.774676872877112,171.53987919651954,1482.9850889247232,-15,-5,-2,False
9,52-001,1,8.614900500542777,141.53987919651954,1459.049871858308,-65.0,-5.0,-1.25,False
10,52-001,2,8.614900500542777,141.53987919651954,1459.049871858308,-65.0,-5.0,-1.25,True
